feature,importance,rank
price_brent_rmean_3,0.8057056261326957,1
price_brent_lag_1,0.11564158378610122,2
prod_price_ratio,0.05482178611380193,3
yoy_pct_change,0.004765478452508279,4
price_brent_rstd_6,0.002508654699759799,5
production_kbpd,0.0023643291234363433,6
price_brent_rstd_3,0.002354595889040444,7
price_brent_lag_3,0.0021300305955628727,8
price_brent_rstd_12,0.0016482412328161914,9
price_brent_lag_2,0.001598135206636245,10
price_brent_lag_6,0.0012114996448793674,11
price_brent_rmean_12,0.0011917572549557521,12
month_sin,0.0010941119942911636,13
price_brent_lag_12,0.00098186751654115,14
price_brent_rmean_6,0.0008343001781367159,15
year,0.0007834984489627554,16
month_cos,0.0003645037298741654,17
